,_record_id,_title,_updated_by,228_store_name,232_type_of_store,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,271_card_fee,272_card_days_receive_money,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency,163_number_high_perishable_products
153,e9d09b8c-9f31-456f-ad1f-67ce39cd692c,"November 7, 2022",Ángel Francisco Altamirano Campos,Rey patata ,Micro-restaurant (aka. fondita),5.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
154,2dfc0c91-c305-4857-aef1-fc67de0c9683,"November 7, 2022",Ángel Francisco Altamirano Campos,Ferretería ROBCAS,ferretería ,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
155,41de9f42-4fd9-4907-ba0c-c1b24517de7a,"November 7, 2022",Ángel Francisco Altamirano Campos,Antojitos Vero,Micro-restaurant (aka. fondita),1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0
156,57f10a30-202c-40b8-9b32-1cc7c198fc91,"November 7, 2022",Ángel Francisco Altamirano Campos,Lavandería tintorería ,lavandería ,1.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157,fb7e9ccb-ef82-4434-8c8f-603f61f9410a,"November 7, 2022",Ángel Francisco Altamirano Campos,All mobile,tecnología ,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
158,d8e376d1-6298-449c-9a5b-bc0aa6b16f7b,"November 7, 2022",Ángel Francisco Altamirano Campos,Púa púa,Micro-restaurant (aka. fondita),0.0,2.0,1.0,3.0,2.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
159,efef6c98-2662-444d-a8bd-49c9a7d21628,"November 7, 2022",Salomon Abdala Perez,Splashbit,Grocery store (aka. nanostore),2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,fe76baca-23b9-4bec-81fd-6d7895c9b7fa,"November 4, 2022",Sandra Carreón,Camisería Alfonso,Tailor (sastrería),2.0,0.0,13.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0
161,1f6fd33a-a89a-4dc5-95bd-03f396e68bf8,"November 2, 2022",José Zapata,El encanto ,Grocery store (aka. nanostore),0.0,3.0,1.0,0.0,0.0,2.0,7.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
162,8c0f186a-b9c0-4854-a6e7-c7fefeab9336,"November 3, 2022",Daniel Serrano,Textil Unicres,Grocery store (aka. nanostore),0.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
163,7c2c3613-be29-4b85-822f-c7fa68b314c3,"November 3, 2022",Emilio Garza,La Gardenia,Micro-restaurant (aka. fondita),1.2,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,09263630-45e4-499a-ba6e-497c58d7fe09,"November 3, 2022",Francisco Adán,Talavera Puebla - Jesús es el señor ,Productos tradicionales ,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,efe2e285-c67e-4a07-8331-218bc4a7203d,"November 3, 2022",Francisco Adán,Xuti Galería ,productos tradicionales ,0.0,1.0,7.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
166,2413f06e-15cc-4a6f-8e83-5224c6824b12,"November 3, 2022",Emilio Garza,July Store,Grocery store (aka. nanostore),1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,962bf5a6-1eff-4874-a627-9cd8e3ca27b4,"November 3, 2022",Emilio Garza,Miscelánea rubí ,Grocery store (aka. nanostore),1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,9ff658db-4dc5-48b6-aa0b-5c6668bb6720,"November 3, 2022",Emilio Garza,La fonda ,Micro-restaurant (aka. fondita),3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,e88aa9c1-dc8b-4180-99a1-2e0118ad905d,"November 3, 2022",Francisco Adán,"Birria de Res ""Hermanos Negreros 2"" estilo Tijuana ",Micro-restaurant (aka. fondita),0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,bf720ff0-3b7d-47ed-ba49-f5d4bfb7293c,"November 3, 2022",Emilio Garza,Restaurante el alfeñique ,Micro-restaurant (aka. fondita),1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
